,Lati,Long
723,34.1106,-118.1908
724,34.106,-118.2566
725,34.0968,-118.2961
726,34.1202,-118.1766
727,34.0862,-118.2174
728,34.1367,-118.2713
729,34.1198,-118.2029
730,34.0808,-118.2655
731,34.106,-118.1948
732,34.1038,-118.2013
733,34.1247,-118.1976
734,34.0859,-118.231
735,34.0986,-118.2962
738,34.1221,-118.27
739,34.0812,-118.252
740,34.1069,-118.1983
741,34.108,-118.2671
742,34.1002,-118.2918
743,34.0954,-118.2961
744,34.0954,-118.2961
745,34.1018,-118.2933
746,34.1008,-118.2668
747,34.1002,-118.2918
748,34.0909,-118.2917
749,34.1215,-118.2069
750,34.0904,-118.2272
751,34.0935,-118.2878
752,34.104,-118.1971
753,34.0994,-118.289
754,34.1164,-118.1835
755,34.1096,-118.2383
756,34.1051,-118.2313
757,34.1051,-118.2313
758,34.1051,-118.2313
759,34.1051,-118.2313
760,33.9997,-118.2849
761,33.9727,-118.3309
762,33.973,-118.2652
763,33.9883,-118.2827
764,33.979,-118.3112
765,33.9642,-118.2739
766,33.9932,-118.3193
767,33.9807,-118.2827
768,33.9906,-118.3023
770,33.9719,-118.3188
771,33.9719,-118.3188
772,33.9816,-118.3216
773,33.9862,-118.3002
774,33.9874,-118.2827
775,33.9643,-118.2871
776,33.9643,-118.2871
777,33.9745,-118.3342
778,33.9792,-118.2893
779,33.9774,-118.286
780,33.9708,-118.2783
781,33.9892,-118.3089
782,33.9892,-118.3089
783,33.9789,-118.2981
784,33.9892,-118.3101
785,34.0038,-118.2827
786,33.989,-118.3352
787,33.9693,-118.285
788,33.991,-118.3193
789,33.991,-118.3193
790,33.991,-118.3193
791,33.9655,-118.309
792,33.9909,-118.3308
793,33.9806,-118.3323
794,34.0027,-118.3002
795,33.9746,-118.2918
796,33.96,-118.2985
797,33.9643,-118.2871
798,33.9859,-118.3024
799,33.9737,-118.2981
800,33.9618,-118.2959
801,33.9997,-118.2827
802,33.9661,-118.2849
803,33.9661,-118.2849
804,33.9661,-118.2849
805,33.9661,-118.2849
806,33.9764,-118.3207
807,33.9747,-118.2812
808,33.9892,-118.2844
809,33.9892,-118.2844
810,33.9824,-118.2827
811,33.9863,-118.3352
812,33.97,-118.3156
813,33.9739,-118.2652
814,33.9638,-118.2651
815,34.0006,-118.2937
816,33.9829,-118.3294
817,33.9669,-118.2827
818,33.9619,-118.2919
819,33.9805,-118.2937
820,33.9876,-118.3024
821,33.9995,-118.2893
822,33.9693,-118.285
823,33.9824,-118.309
824,33.9658,-118.2959
825,33.9845,-118.3078
826,33.9661,-118.2849
827,33.9727,-118.2981
828,33.9709,-118.3057
829,33.9455,-118.3068
830,33.9969,-118.3089
831,33.9892,-118.3089
832,33.9675,-118.2608
833,34.0028,-118.3089
834,33.9987,-118.2915
835,33.9856,-118.3089
836,33.979,-118.2809
837,33.9824,-118.2827
838,33.9713,-118.2673
839,33.9628,-118.2717
840,33.9693,-118.285
841,33.9848,-118.2915
842,33.9691,-118.3308
843,33.9951,-118.3089
844,33.9651,-118.2783
845,33.9805,-118.2937
846,33.9805,-118.2937
848,33.9673,-118.309
849,33.9933,-118.3024
850,33.9824,-118.3046
851,33.9633,-118.2739
852,33.9651,-118.2804
853,33.9837,-118.3294
854,33.9852,-118.3463
855,33.9627,-118.309
856,33.9616,-118.2782
857,33.9622,-118.285
858,33.9915,-118.3002
859,33.9931,-118.3333
860,33.9675,-118.2608
861,33.9915,-118.3002
862,33.9713,-118.2695
863,33.9829,-118.3323
864,33.9601,-118.287
865,33.9941,-118.3258
866,33.9655,-118.3003
867,33.9728,-118.2739
868,33.9694,-118.294
869,33.9728,-118.2739
870,33.9869,-118.2915
871,33.9883,-118.2827
873,33.9527,-118.3177
874,33.9747,-118.2809
875,33.9656,-118.2673
876,33.9824,-118.3068
877,34.0001,-118.3089
878,33.9564,-118.3123
879,33.9951,-118.2915
880,33.9951,-118.2915
881,33.9746,-118.3024
882,33.9746,-118.3024
883,33.9914,-118.2915
884,33.9745,-118.3309
885,33.9942,-118.3024
886,33.961,-118.2695
887,33.9737,-118.3112
888,33.9974,-118.2827
889,33.9679,-118.2827
890,33.9718,-118.2739
891,33.9718,-118.2739
892,33.9892,-118.2806
893,33.9833,-118.2915
894,33.973,-118.2739
895,33.9855,-118.287
896,33.966,-118.2812
897,33.9823,-118.2856
898,33.9728,-118.2918
899,33.9728,-118.2918
900,33.9728,-118.2918
901,33.961,-118.2959
903,33.9727,-118.2981
904,33.9891,-118.3157
905,33.9872,-118.3264
906,33.9615,-118.2919
907,33.959,-118.3046
908,33.959,-118.3046
909,33.9671,-118.2695
910,33.9671,-118.2695
911,33.9941,-118.2937
912,33.9941,-118.2937
913,34.0007,-118.2964
914,34.0017,-118.2856
915,33.9655,-118.3003
916,33.9746,-118.2959
917,33.9792,-118.3003
918,33.9771,-118.2916
919,33.9897,-118.3002
920,33.973,-118.2608
921,33.9833,-118.2915
922,33.96,-118.309
923,33.9923,-118.287
924,33.9692,-118.3003
925,33.9818,-118.3221
926,33.9539,-118.3101
927,33.9909,-118.3236
928,33.9791,-118.309
929,33.9806,-118.3323
930,34.0037,-118.2871
931,33.9627,-118.3046
932,34.0037,-118.3089
933,33.9905,-118.2915
934,33.9996,-118.2954
935,33.9996,-118.2954
936,33.9941,-118.2937
937,33.9933,-118.3089
938,33.9891,-118.3196
939,33.9923,-118.287
940,33.9642,-118.2827
941,33.9746,-118.3187
942,33.9629,-118.2739
943,33.9619,-118.2717
944,33.9601,-118.2739
945,33.964,-118.2739
946,33.9655,-118.3025
947,33.9651,-118.2783
948,33.9764,-118.2892
949,33.96,-118.3003
950,33.9906,-118.2842
951,33.9746,-118.3112
952,33.9615,-118.2919
953,33.9708,-118.2739
954,33.9953,-118.2915
955,33.9932,-118.2915
956,33.9591,-118.3112
957,33.9764,-118.3226
958,33.9995,-118.2893
959,33.9636,-118.2893
960,33.9703,-118.2608
961,33.9778,-118.309
962,33.9661,-118.2849
963,33.9661,-118.2849
964,34.0001,-118.3171
965,33.9906,-118.2827
966,33.9906,-118.3023
967,33.9785,-118.2937
968,33.9622,-118.285
969,33.9591,-118.309
970,33.9782,-118.3187
971,33.9782,-118.3187
972,33.9782,-118.3187
973,33.9782,-118.3187
974,33.9782,-118.3187
975,33.9992,-118.3057
976,33.9713,-118.2739
977,33.9699,-118.2761
978,33.9889,-118.35
979,33.9628,-118.2739
980,33.9628,-118.2739
981,33.9862,-118.3002
982,33.9829,-118.3279
983,34.001,-118.2478
984,33.9788,-118.2717
985,33.9857,-118.2652
986,34.0038,-118.274
987,34.0102,-118.2543
988,33.9925,-118.2701
990,33.9845,-118.2589
991,33.9974,-118.274
992,34.0286,-118.2545
993,34.0333,-118.2697
994,34.0285,-118.269
995,34.0111,-118.2784
996,34.0111,-118.2784
997,34.0076,-118.2653
998,33.9786,-118.2761
999,33.9912,-118.2521
1000,34.0382,-118.2432
1001,34.0382,-118.2432
1002,34.0395,-118.248
1003,34.0039,-118.244
1004,34.0101,-118.2565
1005,34.0256,-118.2299
1006,33.9797,-118.2739
1007,33.9779,-118.2739
1008,34.0245,-118.2505
1009,33.9934,-118.272
1010,34.0219,-118.2571
1011,34.0011,-118.2521
1012,33.979,-118.2783
1013,34.0035,-118.2691
1014,33.9984,-118.2696
1015,33.9943,-118.2701
1016,33.9789,-118.2795
1017,33.9789,-118.2795
1018,33.9789,-118.2795
1019,33.9943,-118.2701
1021,34.0141,-118.277
1022,34.0248,-118.2441
1023,34.029,-118.2563
1024,34.0074,-118.274
1025,34.0346,-118.2323
1026,33.9747,-118.2739
1027,33.9851,-118.2783
1028,34.0112,-118.2712
1029,34.011,-118.2582
1030,34.0039,-118.2565
1031,34.0039,-118.2565
1032,33.9971,-118.2565
1033,33.9984,-118.2696
1034,33.9925,-118.272
1035,34.0011,-118.274
1037,33.982,-118.2564
1038,33.9784,-118.263
1039,34.0159,-118.2487
1040,33.9798,-118.2783
1041,34.0011,-118.2783
1042,33.982,-118.2564
1043,34.0039,-118.2652
1044,33.9857,-118.2628
1045,33.9998,-118.2774
1046,34.0113,-118.2493
1047,34.0387,-118.2488
1048,33.9842,-118.2783
1049,34.0154,-118.2653
1050,34.0102,-118.2543
1051,34.0102,-118.2543
1052,34.0102,-118.2543
1053,34.0102,-118.2543
1054,34.0102,-118.2543
1055,33.9842,-118.2783
1056,33.9966,-118.2696
1057,34.0387,-118.2439
1058,33.9902,-118.2542
1059,34.0382,-118.2432
1060,34.0291,-118.2565
1061,34.0284,-118.2469
1064,33.9998,-118.2774
1065,34.0407,-118.2468
1066,33.9924,-118.2761
1067,33.9902,-118.2564
1068,34.0178,-118.2553
1069,34.0092,-118.2652
1070,33.9824,-118.2801
1071,34.021,-118.2712
1072,33.9842,-118.2783
1073,34.0113,-118.2493
1074,34.0171,-118.2618
1075,34.0375,-118.2423
1076,33.9925,-118.2701
1077,34.0233,-118.2602
1078,33.9788,-118.2695
1079,34.0126,-118.278
1080,34.0011,-118.2783
1081,34.0233,-118.2516
1082,34.0075,-118.2609
1084,34.031,-118.2448
1085,34.0057,-118.2609
1086,34.031,-118.2586
1087,33.9922,-118.2521
1088,33.9922,-118.2521
1089,33.9981,-118.2697
1090,34.006,-118.2513
1091,34.0058,-118.2565
1092,34.0341,-118.2507
1093,34.0281,-118.2582
1095,34.0329,-118.2493
1096,33.9976,-118.2583
1097,34.012,-118.2653
1098,34.0254,-118.2629
1099,33.9939,-118.2499
1100,34.0293,-118.2427
1101,33.9858,-118.2739
1102,34.0057,-118.2728
1103,34.0248,-118.2441
1105,34.0091,-118.2762
1106,33.9925,-118.2608
1107,34.0057,-118.274
1108,33.9493,-118.3725
1109,33.9843,-118.4643
1110,34.029,-118.4032
1111,33.9956,-118.4722
1112,33.9874,-118.4728
1113,34.0286,-118.3983
1114,33.9619,-118.4327
1115,33.9599,-118.3805
1116,33.9995,-118.4641
1117,33.9472,-118.3909
1118,33.9988,-118.436
1119,33.9773,-118.3718
1120,33.9999,-118.4413
1121,33.944,-118.4073
1122,33.9523,-118.3906
1123,34.0285,-118.3898
1124,33.9773,-118.3711
1125,33.9965,-118.477
1126,33.9871,-118.4733
1127,33.9976,-118.467
1128,33.9791,-118.4669
1129,33.9651,-118.4292
1130,33.994,-118.4526
1131,33.9858,-118.4727
1132,34.0294,-118.3881
1134,33.9858,-118.4722
1135,33.9761,-118.3732
1136,33.9761,-118.3732
1137,33.9934,-118.46
1138,33.9933,-118.4765
1139,34.0308,-118.4163
1140,33.9908,-118.4765
1141,34.0204,-118.4039
1142,33.9991,-118.404
1143,33.9855,-118.4578
1144,33.9314,-118.416
1145,33.9875,-118.4741
1146,33.9875,-118.4741
1147,33.9314,-118.416
1149,33.9933,-118.4765
1150,33.9314,-118.416
1151,33.9761,-118.3732
1152,33.9309,-118.3785
1153,33.9309,-118.3785
1154,33.9805,-118.439
1155,33.9933,-118.4765
1156,33.9599,-118.3805
1163,34.1379,-118.364
1180,34.1425,-118.3643
1185,34.1405,-118.3702
1274,33.9378,-118.2462
1275,33.9431,-118.2296
1276,33.9315,-118.232
1277,33.9237,-118.2739
1278,33.9429,-118.2739
1279,33.9528,-118.2915
1280,33.947,-118.2684
1281,33.9423,-118.2894
1284,33.9456,-118.2739
1285,33.9327,-118.2351
1286,33.9237,-118.2543
1287,33.9533,-118.2564
1288,33.9165,-118.2916
1289,33.9456,-118.2781
1290,33.9128,-118.2869
1291,33.9391,-118.2916
1292,33.9512,-118.2476
1293,33.96,-118.2915
1294,33.9365,-118.2587
1295,33.9301,-118.2652
1296,33.9449,-118.2565
1297,33.9542,-118.2827
1298,33.9542,-118.2827
1299,33.9336,-118.2498
1300,33.9491,-118.248
1301,33.9602,-118.2651
1302,33.9501,-118.2869
1303,33.9431,-118.2296
1304,33.9431,-118.2296
1305,33.9587,-118.2827
1307,33.96,-118.2915
1308,33.9378,-118.2462
1309,33.9555,-118.2871
1310,33.9601,-118.287
1311,33.9379,-118.239
1312,33.9315,-118.239
1314,33.9247,-118.2696
1315,33.9348,-118.2516
1316,33.931,-118.2916
1317,33.931,-118.2916
1318,33.9574,-118.2564
1319,33.9475,-118.2477
1320,33.958,-118.2869
1322,33.9601,-118.2739
1323,33.9373,-118.263
1324,33.9021,-118.2893
1326,33.9367,-118.2871
1327,33.9555,-118.2782
1328,33.9376,-118.2329
1329,33.9347,-118.2761
1330,33.9456,-118.2739
1331,33.9399,-118.2362
1332,33.9555,-118.2766
1333,33.9555,-118.2766
1334,33.9555,-118.2766
1335,33.9456,-118.2695
1336,33.9431,-118.2894
1337,33.9367,-118.2871
1338,33.9601,-118.2782
1339,33.9319,-118.257
1340,33.956,-118.2772
1341,33.9237,-118.2915
1342,33.9311,-118.2479
1343,33.9323,-118.2502
1344,33.9456,-118.2739
1345,33.9315,-118.232
1346,33.9321,-118.2425
1347,33.9339,-118.2848
1348,33.9339,-118.2848
1349,33.9512,-118.2476
1350,33.9512,-118.2476
1351,33.9512,-118.2476
1352,33.9512,-118.2476
1353,33.9301,-118.2652
1354,33.9301,-118.2652
1355,33.9301,-118.2652
1356,33.9311,-118.2493
1357,33.9392,-118.2762
1358,33.9237,-118.2739
1359,33.9429,-118.2739
1360,33.9456,-118.2323
1361,33.9311,-118.2493
1362,33.9532,-118.2564
1363,33.9295,-118.2462
1364,33.9472,-118.2328
1365,33.9382,-118.2869
1366,33.9283,-118.2695
1367,33.9397,-118.253
1368,33.9343,-118.2406
1369,33.9565,-118.2869
1370,33.9432,-118.2435
1371,33.9402,-118.2739
1372,33.9538,-118.2586
1373,33.9247,-118.2739
1374,33.9528,-118.2782
1375,33.9524,-118.2446
1376,33.9321,-118.2522
1377,33.9321,-118.2522
1378,33.9321,-118.2522
1379,33.9321,-118.2522
